job_titles1,year,Location,Level,StandardJobTitle,YearsOfExperience
IT Coordinator,2015,Giza,Entry Level,IT Category,2
Senior Translator (English - Arabic),2015,Giza,Experienced (Non-Manager),Software Engneering ,3
Android Developer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,2
Product Manager,2015,Giza,Experienced (Non-Manager),Software Engneering ,4
Product UI/UX Designer,2015,Giza,Experienced (Non-Manager),Software Engneering ,5
Associate Fundamental Data Analyst - Turkish ,2015,Cairo,Entry Level,Software Engneering ,0
Web Designer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,3
Android Developer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,4
German Customer Service Advisor / Kundenbetreuung,2015,Cairo / Giza,Entry Level,Software Engneering ,0
Creative Designer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,3
Operations Manager,2015,Giza,Experienced (Non-Manager),Software Engneering ,5
Research & Development Engineer ,2015,6th october,Entry Level,Software Engneering ,0
ERP Developer - Axapta,2015,Cairo,Experienced (Non-Manager),Software Engneering ,6
Site Supervisor- Ismailia ,2015,Ismailia,Experienced (Non-Manager),Software Engneering ,5
UI Designer ,2015,Giza,Entry Level,Software Engneering ,3
IT Service Desk Engineer,2015,Cairo,Entry Level,IT Category,0
 .Net Developer ,2015,Cairo,Experienced (Non-Manager),Software Engneering ,3
PHP Developer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,3
Software Business Analyst,2015,Cairo,Experienced (Non-Manager),Software Engneering ,4
Senior iOS Software Developer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
Quality Team Leader,2015,Cairo,Experienced (Non-Manager),Software Engneering ,6
Senior .NET Developer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,6
Senior PHP Software Development Engineer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,3
iOS Developer,2015,Giza,Experienced (Non-Manager),Software Engneering ,2
Senior Software Developer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,6
Software Developer,2015,Cairo,Entry Level,Software Engneering ,0
Android  Developer ,2015,Cairo,Experienced (Non-Manager),Software Engneering ,3
customer service,2015,Cairo,Entry Level,Software Engneering ,0
Oracle DBA,2015,Giza,Experienced (Non-Manager),Software Engneering ,3
Spring Framework Developer (2 Months),2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
Graphic Designer,2015,Giza,Experienced (Non-Manager),Software Engneering ,4
Key Account Manager ,2015,Cairo,Manager,Software Engneering ,5
call center Rep. in Ireland account,2015,Cairo,Entry Level,Software Engneering ,0
customer service Vodafone Uk,2015,Cairo,Entry Level,Software Engneering ,0
Guest Relation Coordinator,2015,Giza,Entry Level,Software Engneering ,0
Java Developer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
Senior Java Developer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,8
Senior .Net Developer,2015,Giza,Experienced (Non-Manager),Software Engneering ,3
مطلوب للعمل بشركه مقاولات المشرق بالسعوديه,2015,الرياض,Experienced (Non-Manager),Software Engneering ,5
Senior Software Developer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
Graphic Designer ,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
Mechanical Engineer ,2015,Beheira,Experienced (Non-Manager),Software Engneering ,3
Software Operations Manager ,2015,Cairo,Manager,Software Engneering ,5
Finalizer ,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
Senior Developer - (Java/Python),2015,Giza,Experienced (Non-Manager),Software Engneering ,5
Junior Developer - (Java/Python),2015,Giza,Experienced (Non-Manager),Software Engneering ,3
Spare Parts Engineer,2015,6th of October City,Experienced (Non-Manager),Software Engneering ,5
Technical Coordinator,2015,cario,Entry Level,Software Engneering ,0
E-Learning Trainer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,2
Senior Software Developer,2015,Giza,Experienced (Non-Manager),Software Engneering ,5
Senior Software QC Specialist - Accounting Systems,2015,Giza,Experienced (Non-Manager),Software Engneering ,5
Web Designer & Web Developer,2015,"EL-MOHANDSEEN, GIZA",Manager,Software Engneering ,3
Front-End Developer,2015,Giza,Entry Level,Software Engneering ,0
Finalizer (Graphic Designer),2015,Giza,Experienced (Non-Manager),Software Engneering ,2
Web Designer / Developer,2015,Giza,Experienced (Non-Manager),Software Engneering ,2
PHP Web Developer,2015,Giza,Experienced (Non-Manager),Software Engneering ,3
Graphic Designer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,2
Senior PHP Developer,2015,Alexandria,Experienced (Non-Manager),Software Engneering ,3
Web Developer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,3
Technical Support Specialist ,2015,Cairo,Experienced (Non-Manager),Software Engneering ,4
Java Developer,2015,Cairo,Entry Level,Software Engneering ,0
IT Business Partner,2015,Cairo,Experienced (Non-Manager),IT Category,3
EDW & BI Development Supervisor,2015,Giza,Experienced (Non-Manager),Software Engneering ,4
Production Manager,2015,Cairo,Manager,Software Engneering ,10
Senior Java Engineer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
Sanitary Site & Office Engineer,2015,Giza,Experienced (Non-Manager),Software Engneering ,5
Receptionist,2015,Cairo,Entry Level,Software Engneering ,0
Production Manager - Alexandria,2015,Alexandria,Manager,Software Engneering ,5
Operations Manager,2015,Cairo,Manager,Software Engneering ,5
Senior Java Developer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,3
Software Developer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,3
Quality Manager - Alexandria,2015,Alexandria,Manager,Software Engneering ,3
SharePoint  Developer - SharePoint 2013,2015,Cairo,Experienced (Non-Manager),Software Engneering ,3
Microbiology Specialist - Alexandria,2015,Alexandria,Entry Level,Software Engneering ,3
Project Manager - Software,2015,Alexandria,Experienced (Non-Manager),Software Engneering ,7
Chemist - Alexandria,2015,Alexandria,Entry Level,Software Engneering ,3
Customer Service Executive,2015,Cairo,Entry Level,Software Engneering ,3
Ready Mix Plant Manager,2015,Giza,Manager,Software Engneering ,15
Electrical Purchasing Engineer ,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
Mechanical Purchasing Engineer ,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
Interior Designer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,6
Civil Purchasing Engineer ,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
Senior Graphic Designer  ,2015,Cairo,Experienced (Non-Manager),Software Engneering ,3
Receptionist,2015,Cairo,Entry Level,Software Engneering ,2
Senior Translator,2015,Giza,Experienced (Non-Manager),Software Engneering ,4
Engineering Instructor,2015,Cairo,Experienced (Non-Manager),Software Engneering ,20
Call center,2015,Cairo,Student,Software Engneering ,0
Call center,2015,Cairo,Student,Software Engneering ,0
Senior Android Developer,2015,Giza,Experienced (Non-Manager),Software Engneering ,2
Mechanical R&D Engineer,2016,Giza,Entry Level,Software Engneering ,0
Production Shift Leader,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
Junior Web Designer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,3
Junior Web Developer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,3
CS - Service Quality Engineer,2015,Cairo,Entry Level,Software Engneering ,0
Civil Engineer (Construction),2015,Alexandria,Entry Level,Software Engneering ,3
Senior Art Director,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
Graphic Designer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,2
PHP Developer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,3
IOS Developer,2015,Giza,Experienced (Non-Manager),Software Engneering ,2
Senior .Net Developer,2015,Mansoura,Experienced (Non-Manager),Software Engneering ,5
Civil Engineer,2015,Cairo,Entry Level,Software Engneering ,0
Project Manager/Implementation Engineer,2015,Giza,Experienced (Non-Manager),Software Engneering ,5
Internal Finishing Site Engineer  ,2015,Cairo,Experienced (Non-Manager),Software Engneering ,7
Android Developer - Canada,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
iOS Developer - Canada,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
Interior Designer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,7
Senior Database Developer,2015,Mansoura,Experienced (Non-Manager),Software Engneering ,5
Projects Manager,2015,Cairo,Manager,Software Engneering ,10
Web Designer/Developer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
Graphic Designer,2015,Giza,Experienced (Non-Manager),Software Engneering ,5
SystemEngineer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,2
Senior Java Developer ,2015,Cairo,Experienced (Non-Manager),Software Engneering ,6
Business/System Analyst,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
2D & 3D Designer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,3
Software Developer ( .Net),2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
AutoCAD Drafter,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
Planning Engineer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,7
Senior HR Application Consultant,2015,Giza,Experienced (Non-Manager),Software Engneering ,3
Senior Translator (English-Arabic),2015,Giza,Experienced (Non-Manager),Software Engneering ,9
Senior Software Developer ,2015,Giza,Experienced (Non-Manager),Software Engneering ,3
Senior Software Tester,2015,Giza,Experienced (Non-Manager),Software Engneering ,3
Senior Market Researcher,2015,Giza,Experienced (Non-Manager),Software Engneering ,3
Application Support Engineer,2015,Giza,Experienced (Non-Manager),Software Engneering ,5
 Customer Service,2015,Cairo,Entry Level,Software Engneering ,3
Database Administrator ,2015,Giza,Experienced (Non-Manager),Software Engneering ,3
Support Engineer,2015,Giza,Entry Level,Software Engneering ,0
Production Supervisor,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
Junior  Graphic Designer,2015,Cairo,Entry Level,Software Engneering ,1
Client Coordinator ,2015,Ciro,Experienced (Non-Manager),Software Engneering ,2
Senior Architect,2015,Cairo,Experienced (Non-Manager),Software Engneering ,6
Web Designer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,3
Technical Development Manager,2015,Cairo,Manager,Software Engneering ,10
Technical Office Electrical Engineer,2015,Giza,Experienced (Non-Manager),Software Engneering ,2
IT Trainee,2015,portsaid,Entry Level,IT Category,0
IT Trainee,2015,Port Said,Entry Level,IT Category,0
Senior Research Executive,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
Graphic Designer,2015,Giza,Experienced (Non-Manager),Software Engneering ,2
Software Quality Engineer,2015,Giza,Experienced (Non-Manager),Software Engneering ,2
Front End Developer ,2015,Cairo,Experienced (Non-Manager),Software Engneering ,3
Senior Software Tester ,2015,Giza,Experienced (Non-Manager),Software Engneering ,3
Senior Project Manager,2015,Giza,Experienced (Non-Manager),Software Engneering ,5
Web Development,2015,"Nasr City, Cairo","Senior Management (e.g. VP, CEO)",Software Engneering ,5
Web Developer - MVC & Kendo UI,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
Technical Support Engineer ,2015,Cairo,Experienced (Non-Manager),Software Engneering ,2
Creative Graphic Designer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,3
IT Project Manager ,2015,Giza,Experienced (Non-Manager),IT Category,4
Junior Java Web Developer ,2015,Cairo,Entry Level,Software Engneering ,3
Installations Manager/ Engineer ,2015,Cairo,Experienced (Non-Manager),Software Engneering ,3
Lighting Designer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,6
Back Office Executive,2015,Giza,Entry Level,Software Engneering ,2
Call Center Supervisor,2015,Cairo,Experienced (Non-Manager),Software Engneering ,3
Interior Designer,2015,Giza,Experienced (Non-Manager),Software Engneering ,4
Mechanical Engineer,2015,Cairo,Entry Level,Software Engneering ,0
Front Office Admin,2015,Cairo,Entry Level,Software Engneering ,1
Civil Engineer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,8
IT Help Desk Specialist,2015,Cairo,Entry Level,IT Category,2
Desktop Publishing Specialist  - أخصائيين نشر مكتبي,2015,Cairo,Entry Level,Software Engneering ,0
Social Media Strategist (Content Creator),2015,Cairo,Experienced (Non-Manager),Software Engneering ,2
Interactive Graphic Designer,2015,Cairo,Entry Level,Software Engneering ,0
Network Engineer ,2015,Cairo,Entry Level,Software Engneering ,2
Senior PHP Developer,2015,Giza,Experienced (Non-Manager),Software Engneering ,3
Senior PHP Developer ,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
Senior .Net Developer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,3
Business Intelligence Engineer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
Business Intelligence Engineer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
Software Process Improvement Analyst,2015,Cairo,Experienced (Non-Manager),Software Engneering ,7
Software Quality Assurance Engineer/Tester,2015,Cairo,Experienced (Non-Manager),Software Engneering ,7
Junior Software Engineer,2015,Cairo,Entry Level,Software Engneering ,0
IT Service Management Specialist,2015,Cairo,Entry Level,IT Category,0
IT Service Management Specilaist,2015,Cairo,Entry Level,IT Category,0
Senior SoftwareTester,2015,Cairo,Experienced (Non-Manager),Software Engneering ,2
Customer Service Advisor ( English ),2015,Giza,Experienced (Non-Manager),Software Engneering ,4
C++ Software Engineer (Medical Imaging),2015,Giza,Experienced (Non-Manager),Software Engneering ,4
Graphic Designer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,2
Clinic Administrator,2015,red sea,Experienced (Non-Manager),Software Engneering ,2
Product Manager,2015,Giza,Experienced (Non-Manager),Software Engneering ,4
Play Area Manager,2015,Giza,Manager,Software Engneering ,7
3D Designer (Architect and Interior Design) ,2015,Cairo,Experienced (Non-Manager),Software Engneering ,7
Full-stack Developer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,6
Senior Full-stack Developer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,7
Organizer,2015,Cairo,Entry Level,Software Engneering ,0
Quality Control Engineer  - Manufacturing,2015,Cairo,Experienced (Non-Manager),Software Engneering ,3
Maintenance Engineer ,2015,Cairo,Experienced (Non-Manager),Software Engneering ,3
Web developer ,2015,Giza,Experienced (Non-Manager),Software Engneering ,5
Interior Designer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,0
Customer Service Specialist ,2015,Cairo,Entry Level,Software Engneering ,0
IT Specialist,2015,Cairo,Manager,IT Category,2
Graphic Designer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,4
Cashier,2015,Cairo,Entry Level,Software Engneering ,1
Site Engineer (Architectural),2015,Cairo,Experienced (Non-Manager),Software Engneering ,3
Senior Graphic Designer,2015,Giza,Experienced (Non-Manager),Software Engneering ,3
Technical Software Director (.Net),2015,Cairo,Manager,Software Engneering ,7
CRM Project Manager,2015,Cairo,Manager,Software Engneering ,5
Technical Team Leader,2015,Cairo,Manager,Software Engneering ,6
Interior Designer ( 3D Max ),2015,Cairo,Experienced (Non-Manager),Software Engneering ,6
Product Specialist (Assuit),2015,Assuit,Entry Level,Software Engneering ,0
German Account Advisor,2015,Cairo/ Giza,Entry Level,Software Engneering ,0
Project Coordinator,2015,Cairo,Entry Level,Software Engneering ,3
Senior Andriod Developer,2015,Giza,Experienced (Non-Manager),Software Engneering ,3
Data Entry Clerk ,2015,Cairo,Entry Level,Software Engneering ,0
Android  Developer ,2015,Cairo,Experienced (Non-Manager),Software Engneering ,3
PHP Developer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,3
Instructor -ESTEAM,2015,Dokki,Experienced (Non-Manager),Software Engneering ,5
Senior Andriod Developer,2015,Giza,Experienced (Non-Manager),Software Engneering ,3
Translator,2015,Mohandiseen,Entry Level,Software Engneering ,0
Junior Software Quality Control Engineer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,1
Senior Software Quality Control Engineer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,4
Senior .Net Developer ,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
Graphic Animator  ( After Effects ),2015,Giza,Experienced (Non-Manager),Software Engneering ,4
Junior .NET Developer,2015,Cairo,Entry Level,Software Engneering ,0
SharePoint Developer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
Software Quality Control Specialist ,2015,Cairo,Experienced (Non-Manager),Software Engneering ,4
Investor Relations Writer,2015,Cairo,Entry Level,Software Engneering ,0
Senior PHP Developer,2015,Giza,Experienced (Non-Manager),Software Engneering ,2
Mechanical Engineer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,8
Senior Art Director ,2015,Cairo,Experienced (Non-Manager),Software Engneering ,7
Technical Office Engineer - Civil Engineering ,2015,Cairo,Manager,Software Engneering ,5
Java Developer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,2
import specialist,2015,alexandaria,Experienced (Non-Manager),Software Engneering ,5
E-Commerce Specialist,2015,Giza,Experienced (Non-Manager),Software Engneering ,3
Software Tester,2015,Giza,Entry Level,Software Engneering ,0
.Net Software Team Leader,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
Graphic Designer,2015,Giza,Entry Level,Software Engneering ,0
Electrical Maintenance Engineer,2015,Badr,Experienced (Non-Manager),Software Engneering ,5
Software Developer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,2
Telemarketer- French ,2015,Cairo,Entry Level,Software Engneering ,0
Java Web Developer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,3
PHP Developer (WordPress),2015,Giza,Experienced (Non-Manager),Software Engneering ,5
مدقق لغوي/ اللغة العربية,2015,Cairo,Experienced (Non-Manager),Software Engneering ,3
Senior Graphic Designer,2015,Giza,Experienced (Non-Manager),Software Engneering ,6
Project Manager Assistant - French,2015,Cairo,Experienced (Non-Manager),Software Engneering ,0
Market Research Executive,2015,Cairo,Experienced (Non-Manager),Software Engneering ,3
Software Project Manager ,2015,Cairo,Manager,Software Engneering ,7
Graphic Designer,2015,Giza,Experienced (Non-Manager),Software Engneering ,9
R&D Chemist - Ismailia,2015,Ismailia,Experienced (Non-Manager),Software Engneering ,6
IT Help Desk Specialist,2015,Giza,Experienced (Non-Manager),IT Category,8
Laboratory Chemist (Gharbia),2015,Gharbia,Entry Level,Software Engneering ,3
Electrical engineer,2015,Cairo,Entry Level,Software Engneering ,0
DT Engineer,2015,Cairo,Entry Level,Software Engneering ,0
Social Media - Content Specialist,2015,Giza,Experienced (Non-Manager),Software Engneering ,3
Graphic Designer  ,2015,Cairo,Experienced (Non-Manager),Software Engneering ,3
Social Media Moderator ,2015,Giza,Entry Level,Software Engneering ,0
Senior Graphic Designer,2015,Giza,Experienced (Non-Manager),Software Engneering ,5
Infrastructure Civil / Mechanical Engineer  ,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
Planning Engineer,2015,Cairo,Entry Level,Software Engneering ,4
Civil Engineer (roads and bridges),2015,Cairo,Experienced (Non-Manager),Software Engneering ,7
Maintenance Engineer,2015,Cairo/ Giza / Sheikh Zayed / New Cairo,Entry Level,Software Engneering ,3
Procurement Engineer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,3
Electrical Technical Office Engineer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,8
IT Networking Engineer,2015,Cairo,Experienced (Non-Manager),IT Category,3
Project Coordinator (Architect) at Marmonil,2015,Cairo,Experienced (Non-Manager),Software Engneering ,3
Technical Support Biomedical Engineer,2015,Cairo,Entry Level,Software Engneering ,3
Linux System Administrator at Viriphi,2015,Cairo,Experienced (Non-Manager),Software Engneering ,2
Engineering Instructors,2015,Giza,Experienced (Non-Manager),Software Engneering ,5
Unity3D developer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
Social Media Executive,2015,Giza,Experienced (Non-Manager),Software Engneering ,5
IT Specialist,2015,Giza,Experienced (Non-Manager),IT Category,5
Supervisor Site Engineer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,6
Industrial Engineer,2015,Cairo,Entry Level,Software Engneering ,0
Proposal Engineer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
Proposal Engineer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
Computer Graphics Instructor,2015,Giza,Experienced (Non-Manager),Software Engneering ,5
Projects Execution Engineer,2015,suez & Alexandria,Experienced (Non-Manager),Software Engneering ,2
Senior Web Developer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
Furniture Designer ,2015,Cairo,Experienced (Non-Manager),Software Engneering ,0
Mechanical & Electrical Engineer ,2015,Giza,Experienced (Non-Manager),Software Engneering ,5
ESB Technical Lead,2015,Cairo,Experienced (Non-Manager),Software Engneering ,6
Senior Ruby Developer ,2015,Cairo,Experienced (Non-Manager),Software Engneering ,4
Junior Ruby Developer ,2015,Cairo,Entry Level,Software Engneering ,1
Help Desk Support,2015,Cairo,Entry Level,Software Engneering ,3
Senior Java Developer,2015,Giza,Experienced (Non-Manager),Software Engneering ,3
Web Developer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
Junior Application Consultant,2015,Cairo,Entry Level,Software Engneering ,5
iOS Developer - Alexandria,2015,Alexandria,Entry Level,Software Engneering ,1
Graphic Designer - Alexandria,2015,Alexandria,Entry Level,Software Engneering ,1
Senior Dynamics AX Consultant,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
Data Science Engineer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,3
Technical Writer ,2015,Cairo,Experienced (Non-Manager),Software Engneering ,4
Tooling / Maintenance Engineer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,3
Receptionist,2015,Cairo,Entry Level,Software Engneering ,2
IOS Developer ,2015,Cairo,Entry Level,Software Engneering ,2
Oracle Supply Chain Consultant,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
Network Security Specialist,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
Android Developer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,2
iOS Developer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,2
UI / UX Developer ,2015,Cairo,Experienced (Non-Manager),Software Engneering ,2
Mobile Application Developer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
Web Developer,2015,Giza,Experienced (Non-Manager),Software Engneering ,1
Senior Mobile & Web Developer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
Technical Office Engineer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,3
Developer Team Lead  (Mobile & Web ),2015,Cairo,Experienced (Non-Manager),Software Engneering ,7
IOS Developer ,2015,Cairo,Entry Level,Software Engneering ,2
Export Manager,2015,Cairo,Manager,Software Engneering ,10
IT Technician -Technical support,2015,Zagazig,Entry Level,IT Category,2
Tender Engineer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
customer service  ,2015,Cairo,Entry Level,Software Engneering ,0
Extrusion Production Engineer,2015,Giza,Experienced (Non-Manager),Software Engneering ,5
Specification Engineer,2015,Egypt,Experienced (Non-Manager),Software Engneering ,4
German Account Supervisor,2015,Cairo,Manager,Software Engneering ,2
Engineering Open Day,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
Call Center Operator (Temporary),2015,Cairo,Experienced (Non-Manager),Software Engneering ,2
Junior Graphic Designer,2015,Giza,Experienced (Non-Manager),Software Engneering ,3
Graphic Designer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,2
Operations Excellence Manager,2015,Cairo,Manager,Software Engneering ,8
Web developer,2015,Alexandria,Entry Level,Software Engneering ,2
for prestigious  consulting en,2015,ابها,Experienced (Non-Manager),Software Engneering ,5
UI/UX Designer & Front-End Developer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
Web / Graphic Designer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,3
Front End engineer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,2
Web Designer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
Web Developer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
.Net Developer at Estabena,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
Business Creative Planner,2015,Giza,Experienced (Non-Manager),Software Engneering ,5
Communication Engineer,2015,Giza,Experienced (Non-Manager),Software Engneering ,3
Electrical Engineer,2015,Giza,Experienced (Non-Manager),Software Engneering ,3
Product Executive ,2015,Cairo,Entry Level,Software Engneering ,0
Factory Manager,2015,Cairo,Manager,Software Engneering ,15
Localization Specialist - Translation ,2015,Cairo,Entry Level,Software Engneering ,3
Senior PHP Developer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,3
Social Media Executive,2015,Cairo,Entry Level,Software Engneering ,0
Senior Interior Designer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,3
Receptionist,2015,Cairo,Entry Level,Software Engneering ,0
Senior .NET Web Developer ,2015,Cairo,Experienced (Non-Manager),Software Engneering ,6
Senior Web Designer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,6
Senior Graphic Designer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
Junior Graphic Designer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,2
PHP Developer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,3
Graphic Designer- Sharm El Sheikh ,2015,Sharm El Sheikh,Entry Level,Software Engneering ,1
Mechanical Engineer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,0
Junior Software Quality Assurance Engineer,2015,Cairo,Entry Level,Software Engneering ,2
UI Mobile Designer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,3
Social Media Moderator,2015,Cairo,Entry Level,Software Engneering ,0
Senior PHP Developer - Mansoura,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
Web Developer - Mansoura,2015,Cairo,Experienced (Non-Manager),Software Engneering ,1
Web Developer Trainee - Mansoura ,2015,Cairo,Entry Level,Software Engneering ,1
Senior iOS Software Developer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
Technical Support Engineer,2015,Cairo,Entry Level,Software Engneering ,0
Senior Electrical Engineer ,2015,Cairo,Experienced (Non-Manager),Software Engneering ,3
Junior Electrical Engineer ,2015,Cairo,Entry Level,Software Engneering ,0
Android Developer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
Client Service Executive - Concerts and Events,2015,Cairo,Entry Level,Software Engneering ,3
IT / Web Adminstrator,2015,Cairo,Experienced (Non-Manager),IT Category,3
Java developer,2015,Giza,Entry Level,Software Engneering ,3
Electrical Engineer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,0
Junior Translator,2015,Giza,Entry Level,Software Engneering ,0
Supervisor Mechanical Engineer ,2015,Giza,Experienced (Non-Manager),Software Engneering ,8
General & Medical Translator - Alexandria,2015,Alexandria,Entry Level,Software Engneering ,0
Legal and General Reviewer - Alexandria,2015,Alexandria,Experienced (Non-Manager),Software Engneering ,5
PHP Developer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,4
DTP / QC Specialist,2016,Giza,Experienced (Non-Manager),Software Engneering ,6
Web developer,2015,Cairo,Entry Level,Software Engneering ,1
Software Developer (PHP Symfony),2015,Cairo,Experienced (Non-Manager),Software Engneering ,4
Summer Intern,2015,Cairo,Student,Software Engneering ,1
CAD Operator-رسام أتوكاد,2015,Cairo,Experienced (Non-Manager),Software Engneering ,2
Junior Software Developer,2015,Giza,Entry Level,Software Engneering ,0
Graphic Designer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,3
Software Developer,2015,Giza,Experienced (Non-Manager),Software Engneering ,3
Customer Service Guide (French),2015,Cairo,Entry Level,Software Engneering ,1
Mechanical Engineer,2015,Giza,Experienced (Non-Manager),Software Engneering ,7
Senior UI Designer / Developer,2015,Giza,Experienced (Non-Manager),Software Engneering ,3
Game Characters Modeller,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
Illustrator,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
IT Specialist,2015,Giza,Experienced (Non-Manager),IT Category,3
Dental Maintenance Engineer,2015,Cairo,Experienced (Non-Manager),Software Engneering ,5
Tracing Advisor,2015,Cairo,Experienced (Non-Manager),Software Engneering ,4
